"I0429 11:18:34.044518  1383 solver.cpp:264] Iteration 15000, Testing net (#0)"
I0429 11:19:36.214046  1383 solver.cpp:315]     Test net output #0: accuracy = 0.68385
"I0429 11:19:36.676826  1383 solver.cpp:209] Iteration 15000, loss = 0.335453"
"I0429 11:19:36.676884  1383 solver.cpp:674] Iteration 15000, lr = 0.001"
"I0429 11:20:05.039805  1383 solver.cpp:209] Iteration 15020, loss = 0.251796"
"I0429 11:20:05.039858  1383 solver.cpp:674] Iteration 15020, lr = 0.001"
"I0429 11:20:33.325362  1383 solver.cpp:209] Iteration 15040, loss = 0.411031"
"I0429 11:20:33.325485  1383 solver.cpp:674] Iteration 15040, lr = 0.001"
"I0429 11:21:01.622436  1383 solver.cpp:209] Iteration 15060, loss = 0.310023"
"I0429 11:21:01.622489  1383 solver.cpp:674] Iteration 15060, lr = 0.001"
"I0429 11:21:29.921267  1383 solver.cpp:209] Iteration 15080, loss = 0.251675"
"I0429 11:21:29.921386  1383 solver.cpp:674] Iteration 15080, lr = 0.001"
"I0429 11:21:58.207492  1383 solver.cpp:209] Iteration 15100, loss = 0.293901"
"I0429 11:21:58.207545  1383 solver.cpp:674] Iteration 15100, lr = 0.001"
"I0429 11:22:26.504741  1383 solver.cpp:209] Iteration 15120, loss = 0.280679"
"I0429 11:22:26.504848  1383 solver.cpp:674] Iteration 15120, lr = 0.001"
"I0429 11:22:54.796552  1383 solver.cpp:209] Iteration 15140, loss = 0.276301"
"I0429 11:22:54.796608  1383 solver.cpp:674] Iteration 15140, lr = 0.001"
"I0429 11:23:23.103832  1383 solver.cpp:209] Iteration 15160, loss = 0.372341"
"I0429 11:23:23.103938  1383 solver.cpp:674] Iteration 15160, lr = 0.001"
"I0429 11:23:51.397161  1383 solver.cpp:209] Iteration 15180, loss = 0.450798"
"I0429 11:23:51.397217  1383 solver.cpp:674] Iteration 15180, lr = 0.001"
"I0429 11:24:19.690843  1383 solver.cpp:209] Iteration 15200, loss = 0.300491"
"I0429 11:24:19.690968  1383 solver.cpp:674] Iteration 15200, lr = 0.001"
"I0429 11:24:47.981530  1383 solver.cpp:209] Iteration 15220, loss = 0.186136"
"I0429 11:24:47.981591  1383 solver.cpp:674] Iteration 15220, lr = 0.001"
"I0429 11:25:16.273768  1383 solver.cpp:209] Iteration 15240, loss = 0.360552"
"I0429 11:25:16.273874  1383 solver.cpp:674] Iteration 15240, lr = 0.001"
"I0429 11:25:44.559965  1383 solver.cpp:209] Iteration 15260, loss = 0.365182"
"I0429 11:25:44.560024  1383 solver.cpp:674] Iteration 15260, lr = 0.001"
"I0429 11:26:12.852077  1383 solver.cpp:209] Iteration 15280, loss = 0.3638"
"I0429 11:26:12.852190  1383 solver.cpp:674] Iteration 15280, lr = 0.001"
"I0429 11:26:41.143172  1383 solver.cpp:209] Iteration 15300, loss = 0.215295"
"I0429 11:26:41.143232  1383 solver.cpp:674] Iteration 15300, lr = 0.001"
"I0429 11:27:09.436656  1383 solver.cpp:209] Iteration 15320, loss = 0.308866"
"I0429 11:27:09.436736  1383 solver.cpp:674] Iteration 15320, lr = 0.001"
"I0429 11:27:37.724567  1383 solver.cpp:209] Iteration 15340, loss = 0.302851"
"I0429 11:27:37.724627  1383 solver.cpp:674] Iteration 15340, lr = 0.001"
"I0429 11:28:06.009858  1383 solver.cpp:209] Iteration 15360, loss = 0.345588"
"I0429 11:28:06.009999  1383 solver.cpp:674] Iteration 15360, lr = 0.001"
"I0429 11:28:34.301264  1383 solver.cpp:209] Iteration 15380, loss = 0.400092"
"I0429 11:28:34.301321  1383 solver.cpp:674] Iteration 15380, lr = 0.001"
"I0429 11:29:02.594986  1383 solver.cpp:209] Iteration 15400, loss = 0.297472"
"I0429 11:29:02.595114  1383 solver.cpp:674] Iteration 15400, lr = 0.001"
"I0429 11:29:30.888408  1383 solver.cpp:209] Iteration 15420, loss = 0.327464"
"I0429 11:29:30.888468  1383 solver.cpp:674] Iteration 15420, lr = 0.001"
"I0429 11:29:59.173475  1383 solver.cpp:209] Iteration 15440, loss = 0.364902"
"I0429 11:29:59.173624  1383 solver.cpp:674] Iteration 15440, lr = 0.001"
"I0429 11:30:27.461441  1383 solver.cpp:209] Iteration 15460, loss = 0.199932"
"I0429 11:30:27.461500  1383 solver.cpp:674] Iteration 15460, lr = 0.001"
"I0429 11:30:55.749352  1383 solver.cpp:209] Iteration 15480, loss = 0.292883"
"I0429 11:30:55.749469  1383 solver.cpp:674] Iteration 15480, lr = 0.001"
"I0429 11:31:24.034396  1383 solver.cpp:209] Iteration 15500, loss = 0.349199"
"I0429 11:31:24.034456  1383 solver.cpp:674] Iteration 15500, lr = 0.001"
"I0429 11:31:52.322166  1383 solver.cpp:209] Iteration 15520, loss = 0.248531"
"I0429 11:31:52.322273  1383 solver.cpp:674] Iteration 15520, lr = 0.001"
"I0429 11:32:20.609249  1383 solver.cpp:209] Iteration 15540, loss = 0.293503"
"I0429 11:32:20.609309  1383 solver.cpp:674] Iteration 15540, lr = 0.001"
"I0429 11:32:48.895707  1383 solver.cpp:209] Iteration 15560, loss = 0.372596"
"I0429 11:32:48.895818  1383 solver.cpp:674] Iteration 15560, lr = 0.001"
"I0429 11:33:17.190227  1383 solver.cpp:209] Iteration 15580, loss = 0.245407"
"I0429 11:33:17.190289  1383 solver.cpp:674] Iteration 15580, lr = 0.001"
"I0429 11:33:45.478617  1383 solver.cpp:209] Iteration 15600, loss = 0.293015"
"I0429 11:33:45.478736  1383 solver.cpp:674] Iteration 15600, lr = 0.001"
"I0429 11:34:13.768260  1383 solver.cpp:209] Iteration 15620, loss = 0.404772"
"I0429 11:34:13.768321  1383 solver.cpp:674] Iteration 15620, lr = 0.001"
"I0429 11:34:42.059777  1383 solver.cpp:209] Iteration 15640, loss = 0.225794"
"I0429 11:34:42.059905  1383 solver.cpp:674] Iteration 15640, lr = 0.001"
